"TICKET_ID","OPEN_DATE_KEY","CLOSE_DATE_KEY","CATEGORY_KEY","AGENT_KEY","DEPARTMENT_KEY","PRIORITY_KEY","STATUS_KEY","IMPACT_KEY","RESOLUTION_HOURS","SLA_HOURS","USER_FEEDBACK_RATING","SLA_BREACHED"
"TCKT000071",20250210,20250211,5,4,7,3,3,2,8.13,4,3.3,1
"TCKT000072",20251004,20251004,14,1,5,3,3,3,1.4,48,2.7,0
"TCKT000073",20250111,20250111,2,2,2,1,3,1,3.74,1,5,1
"TCKT000074",20250103,20250103,13,5,7,1,3,1,3.14,48,4.5,0
"TCKT000075",20250928,0,9,7,5,1,4,2,,24,,0
"TCKT000076",20250501,20250501,9,7,7,4,1,1,0.88,24,3.2,0
"TCKT000077",20251028,20251028,14,1,7,1,3,3,3.89,48,1.9,0
"TCKT000078",20250815,20250815,9,7,4,4,3,3,0.61,24,1.3,0
"TCKT000079",20250107,20250107,10,2,6,3,3,2,1.02,2,4.1,0
"TCKT000080",20250509,20250509,1,1,8,2,3,3,2.62,1,4.8,1
"TCKT000081",20250219,0,1,1,3,3,5,3,,1,,0
"TCKT000082",20251117,20251117,9,7,4,2,3,2,3.28,24,1.2,0
"TCKT000083",20250311,20250311,10,2,3,4,1,2,0.73,2,3.9,0
"TCKT000084",20250529,0,1,1,5,3,2,2,,1,,0
"TCKT000085",20250913,20250915,19,6,4,4,1,1,31.42,4,3.2,1
"TCKT000086",20250309,20250310,13,5,1,3,3,1,18.11,48,4.2,0
"TCKT000087",20250328,20250329,15,6,1,2,1,3,29.53,8,2.3,1
"TCKT000088",20251118,20251118,15,6,5,4,3,3,1.92,8,3.2,0
"TCKT000089",20250523,20250523,5,4,7,3,1,1,5.41,4,2.8,1
"TCKT000090",20251109,20251110,3,3,1,2,3,1,11.3,1,3.1,1
"TCKT000091",20250517,20250521,19,6,6,1,3,1,94.58,4,3.1,1
"TCKT000092",20250924,0,18,1,8,2,4,1,,72,,0
"TCKT000093",20251110,20251112,5,4,6,2,1,2,31.57,4,1.9,1
"TCKT000094",20250111,20250111,19,6,2,2,1,2,1.29,4,4.3,0
"TCKT000095",20250411,20250414,14,1,1,4,1,3,79.05,48,4.9,1
"TCKT000096",20250621,0,2,2,3,2,4,3,,1,,0
"TCKT000097",20250914,20250915,17,4,5,2,3,2,3.91,8,3.2,0
"TCKT000098",20250513,20250513,18,1,1,3,1,3,3,72,4.5,0
"TCKT000099",20250920,20250924,19,6,4,2,1,1,87.39,4,1.7,1
"TCKT000100",20250901,20250903,7,6,4,2,1,3,44.75,2,1,1
"TCKT000101",20250807,20250807,3,3,3,2,3,1,6.67,1,2.3,1
"TCKT000102",20251112,20251114,15,6,2,1,3,3,57.88,8,2.1,1
"TCKT000103",20250422,20250425,9,7,8,3,1,3,62.71,24,3,1
"TCKT000104",20250107,20250107,14,1,3,3,1,2,1.81,48,1.6,0
"TCKT000105",20250110,20250110,2,2,6,4,1,3,4.6,1,3.9,1
"TCKT000106",20250830,20250831,13,5,7,1,3,3,18.4,48,4.8,0
"TCKT000107",20250520,20250520,17,4,1,4,3,2,11.89,8,2.7,1
"TCKT000108",20250331,20250401,13,5,1,2,3,1,5.16,48,3.3,0
"TCKT000109",20251030,20251104,14,1,3,3,1,1,124.71,48,3.3,1
"TCKT000110",20250915,0,19,6,3,2,5,1,,4,,0
"TCKT000111",20251015,20251016,1,1,8,1,3,3,7.39,1,3.7,1
"TCKT000112",20250301,20250306,10,2,5,3,1,3,117.73,2,2.4,1
"TCKT000113",20250806,0,12,3,2,1,4,1,,2,,0
"TCKT000114",20250124,0,13,5,5,3,2,2,,48,,0
"TCKT000115",20250204,20250204,2,2,5,3,1,1,1.75,1,3.2,1
"TCKT000116",20250622,20250623,17,4,2,4,1,1,3.54,8,4.3,0
"TCKT000117",20251118,20251121,13,5,3,4,3,1,87.89,48,3.5,1
"TCKT000118",20251115,20251115,9,7,2,3,1,2,0.59,24,2.7,0
"TCKT000119",20251002,20251002,2,2,4,2,3,1,0.91,1,4.7,0
"TCKT000120",20250623,20250623,19,6,2,2,1,2,1.77,4,4.4,0
"TCKT000121",20250306,20250306,7,6,4,3,1,3,2.82,2,2.2,1
"TCKT000122",20250805,0,13,5,4,3,2,1,,48,,0
"TCKT000123",20251007,20251007,18,1,7,1,1,3,1.46,72,3.7,0
"TCKT000124",20250406,0,17,4,8,2,4,3,,8,,0
"TCKT000125",20250831,20250831,2,2,4,2,1,2,1.88,1,3.4,1
"TCKT000126",20250122,20250124,2,2,3,4,1,2,34.38,1,1.2,1
"TCKT000127",20250423,20250423,17,4,6,2,1,2,0.97,8,3.1,0
"TCKT000128",20251018,20251019,16,7,8,4,1,2,12.2,12,4.8,1
"TCKT000129",20250106,20250107,17,4,6,4,1,2,12.04,8,3.3,1
"TCKT000130",20251119,20251119,7,6,6,3,3,1,1.46,2,4.1,0
"TCKT000131",20250707,20250707,15,6,6,3,1,1,1.9,8,3,0
"TCKT000132",20250122,20250124,5,4,4,1,1,1,54.12,4,3.9,1
"TCKT000133",20250618,20250618,7,6,5,4,3,3,2.39,2,1.3,1
"TCKT000134",20250323,20250324,7,6,2,2,1,1,25.05,2,2,1
"TCKT000135",20250406,20250407,10,2,3,2,1,2,20.04,2,1.3,1
"TCKT000136",20250707,20250708,2,2,2,3,3,3,7.95,1,5,1
"TCKT000137",20250203,20250203,16,7,4,2,3,2,3.06,12,4.9,0
"TCKT000138",20250827,20250827,1,1,1,1,3,1,3.36,1,2.9,1
"TCKT000139",20250122,20250122,19,6,5,1,1,2,0.94,4,2.3,0
"TCKT000140",20250511,20250512,4,3,5,1,3,1,6.87,4,3.3,1
"TCKT000141",20250228,20250302,12,3,4,3,3,3,44.08,2,3.1,1
"TCKT000142",20251008,20251014,20,4,7,1,3,1,140.48,12,1.5,1
"TCKT000143",20250728,20250729,8,2,4,1,1,1,37.89,72,2.8,0
"TCKT000144",20250814,20250815,2,2,8,2,1,2,18.89,1,1.3,1
"TCKT000145",20251116,20251116,8,2,7,2,1,1,1.34,72,1,0
"TCKT000146",20251001,20251001,4,3,1,2,1,3,2.81,4,1.9,0
"TCKT000147",20251006,20251006,1,1,3,1,3,2,1.63,1,1.6,1
"TCKT000148",20250724,20250728,6,5,7,3,3,1,91.22,24,1.1,1
"TCKT000149",20250816,20250816,5,4,5,1,3,1,5.66,4,1.7,1
"TCKT000150",20251016,20251018,4,3,4,4,3,2,41.22,4,1,1
"TCKT000151",20250706,20250707,11,7,5,2,1,1,19.87,8,2.6,1
"TCKT000152",20250403,0,11,7,7,4,4,3,,8,,0
"TCKT000153",20250215,20250215,9,7,6,1,3,3,14.82,24,2.8,0
"TCKT000154",20250925,20250925,13,5,8,1,3,1,0.77,48,1.9,0
"TCKT000155",20250804,20250805,19,6,6,2,3,2,37.01,4,1.7,1
"TCKT000156",20250518,20250518,11,7,8,2,3,3,1.98,8,2.3,0
"TCKT000157",20251124,20251124,12,3,2,3,3,3,1.81,2,2.8,0
"TCKT000158",20251021,20251021,7,6,4,3,1,1,11.42,2,4.2,1
"TCKT000159",20250315,20250317,13,5,2,4,3,2,45.87,48,1.1,0
"TCKT000160",20250427,20250427,16,7,8,4,1,3,6.24,12,3.3,0
"TCKT000161",20250414,20250415,16,7,4,4,3,3,1.64,12,3.2,0
"TCKT000162",20250330,20250331,6,5,4,2,1,1,13.13,24,3.7,0
"TCKT000163",20250714,20250716,2,2,4,4,3,1,49.33,1,2.3,1
"TCKT000164",20251112,20251112,12,3,6,4,3,3,11.25,2,2,1
"TCKT000165",20250114,20250117,7,6,6,4,1,3,75.92,2,2.4,1
"TCKT000166",20250227,20250227,15,6,8,2,3,2,6.54,8,4.1,0
"TCKT000167",20250610,0,3,3,4,1,2,3,,1,,0
"TCKT000168",20250608,20250608,20,4,2,4,3,1,0.83,12,2,0
"TCKT000169",20250619,20250619,20,4,6,3,1,2,0.59,12,2.9,0
"TCKT000170",20250717,20250717,7,6,7,4,1,1,0.61,2,2.9,0
"TCKT000171",20251006,20251007,5,4,7,3,1,2,16.42,4,3.7,1
"TCKT000172",20250927,0,8,2,1,4,2,1,,72,,0
"TCKT000173",20250728,20250728,18,1,6,1,1,1,7.69,72,1.5,0
"TCKT000174",20251106,20251106,11,7,7,4,1,1,2.73,8,4.8,0
"TCKT000175",20250810,20250812,5,4,2,1,1,2,43.57,4,2.9,1
"TCKT000176",20250831,20250831,12,3,6,4,1,1,0.59,2,3,0
"TCKT000177",20250504,20250504,15,6,5,2,3,3,2.45,8,2.1,0
"TCKT000178",20251115,20251119,13,5,4,4,1,2,94.03,48,4.3,1
"TCKT000179",20250115,20250116,13,5,5,3,1,2,31.14,48,4.8,0
"TCKT000180",20250325,20250326,2,2,6,1,3,2,3.73,1,4.6,1
"TCKT000181",20251107,20251107,7,6,4,2,1,3,0.72,2,2.1,0
"TCKT000182",20250116,20250116,1,1,1,3,3,2,1.52,1,4.6,1
"TCKT000183",20250516,20250516,19,6,5,4,1,2,1.15,4,4.6,0
"TCKT000184",20250325,20250326,9,7,2,1,1,3,3.89,24,4,0
"TCKT000185",20250212,20250216,3,3,3,1,3,2,90.4,1,3.4,1
"TCKT000186",20250329,0,1,1,2,2,5,1,,1,,0
"TCKT000187",20251031,20251031,9,7,6,1,3,3,1.5,24,2.9,0
"TCKT000188",20250531,20250601,1,1,3,4,3,2,35.02,1,2.4,1
"TCKT000189",20250509,20250509,2,2,7,3,3,3,5.56,1,1.8,1
"TCKT000190",20250811,0,12,3,4,2,5,1,,2,,0
"TCKT000191",20250729,0,16,7,1,3,6,2,,12,,0
"TCKT000192",20251128,20251128,14,1,7,2,1,2,0.83,48,4.6,0
"TCKT000193",20250625,20250625,19,6,8,1,3,3,5.61,4,2.8,1
"TCKT000194",20250201,20250202,8,2,5,1,3,2,17.52,72,2.8,0
"TCKT000195",20250326,0,12,3,5,2,4,3,,2,,0
"TCKT000196",20250731,20250804,9,7,8,3,3,3,86.34,24,2.7,1
"TCKT000197",20250910,20250910,6,5,8,1,1,3,0.59,24,1.5,0
"TCKT000198",20250810,20250810,5,4,6,4,1,2,4.08,4,1.9,1
"TCKT000199",20250825,20250825,6,5,6,1,3,1,2.41,24,1.1,0
"TCKT000200",20250908,20250908,8,2,5,2,3,2,1.23,72,1.1,0
"TCKT000201",20250904,20250905,9,7,1,1,3,3,34.84,24,4.6,1
"TCKT000202",20251004,20251005,19,6,8,4,3,3,35.67,4,2.6,1
"TCKT000203",20250617,0,16,7,5,1,6,1,,12,,0
"TCKT000204",20251014,20251015,19,6,8,1,1,2,5.62,4,4.5,1
"TCKT000205",20250103,20250103,11,7,3,1,1,1,9.87,8,1.4,1
"TCKT000206",20250907,20250907,8,2,6,1,3,3,1.56,72,2.3,0
"TCKT000207",20250724,20250728,8,2,6,4,3,3,85.79,72,1.9,1
"TCKT000208",20251110,20251110,7,6,4,3,1,2,5.49,2,3.1,1
"TCKT000209",20250705,0,3,3,5,3,4,2,,1,,0
"TCKT000210",20250723,20250723,9,7,7,4,3,2,0.59,24,2.9,0
"TCKT000211",20251015,20251015,20,4,6,4,3,1,1.8,12,3.7,0
"TCKT000212",20250719,20250719,8,2,7,4,1,3,3.94,72,2,0
"TCKT000213",20250718,20250718,12,3,4,2,3,2,4.97,2,2,1
"TCKT000214",20250505,20250505,1,1,1,3,3,2,4.54,1,1.2,1
"TCKT000215",20250620,20250620,16,7,3,4,1,1,2.33,12,3.5,0
"TCKT000216",20251003,20251003,5,4,8,2,1,2,0.87,4,2.2,0
"TCKT000217",20250711,20250712,5,4,2,2,1,3,19.12,4,4.5,1
"TCKT000218",20250713,20250713,10,2,5,3,3,3,3.37,2,2.3,1
"TCKT000219",20250819,20250819,1,1,4,2,1,2,2.26,1,4.3,1
"TCKT000220",20250724,20250724,4,3,3,3,3,2,3.85,4,2.4,0
"TCKT000221",20250606,0,10,2,4,3,4,3,,2,,0
"TCKT000222",20250614,20250614,11,7,2,1,1,1,6.54,8,2.7,0
"TCKT000223",20250903,20250903,16,7,5,2,1,2,6.29,12,4.2,0
"TCKT000224",20250726,20250726,7,6,7,3,3,3,0.8,2,3.8,0
"TCKT000225",20250901,20250901,12,3,5,1,1,1,3.94,2,4.6,1
"TCKT000226",20250325,0,12,3,1,4,2,2,,2,,0
"TCKT000227",20251109,20251111,3,3,4,2,1,1,44.2,1,2.1,1
"TCKT000228",20250802,20250802,1,1,5,4,3,2,3.67,1,4.8,1
"TCKT000229",20250605,20250606,6,5,5,4,3,1,7.55,24,2.9,0
"TCKT000230",20251011,20251012,6,5,2,1,1,1,7.18,24,4.9,0
"TCKT000231",20251021,20251023,17,4,6,2,3,3,44.59,8,1.4,1
"TCKT000232",20251119,20251120,17,4,8,2,1,2,20.37,8,3.1,1
"TCKT000233",20251021,0,16,7,8,4,2,2,,12,,0
"TCKT000234",20250907,20250907,10,2,5,4,3,1,0.85,2,4.5,0
"TCKT000235",20250711,0,16,7,1,3,5,2,,12,,0
"TCKT000236",20250321,20250322,4,3,2,2,3,3,30.96,4,1.2,1
"TCKT000237",20250908,20250908,16,7,3,2,3,2,1.53,12,3.6,0
"TCKT000238",20250428,20250428,2,2,3,4,3,1,5.71,1,4.8,1
"TCKT000239",20251118,20251119,18,1,8,3,1,2,6.8,72,4.5,0
"TCKT000240",20250223,20250223,12,3,7,2,1,3,1.74,2,3.6,0
"TCKT000241",20250629,20250630,9,7,1,2,1,1,15.74,24,4.5,0
"TCKT000242",20250530,20250601,13,5,5,1,3,3,66.57,48,1.2,1
"TCKT000243",20250831,20250831,14,1,7,3,1,1,12.65,48,3.9,0
"TCKT000244",20250807,20250807,16,7,8,4,3,2,0.58,12,3.2,0
"TCKT000245",20250129,20250131,16,7,5,3,1,1,60.12,12,2.3,1
"TCKT000246",20251106,20251108,2,2,5,3,1,1,60.45,1,2.5,1
"TCKT000247",20250112,20250112,1,1,2,4,3,2,1.84,1,2.7,1
"TCKT000248",20250727,20250731,2,2,5,3,1,3,98.91,1,4.6,1
"TCKT000249",20250712,20250712,13,5,7,3,1,3,1.04,48,1.6,0
"TCKT000250",20250904,20250904,17,4,4,3,3,2,1.66,8,1.5,0
"TCKT000251",20250819,20250819,10,2,3,3,3,1,5.64,2,4.4,1
"TCKT000252",20250829,20250829,15,6,1,3,3,1,3.06,8,2.8,0
"TCKT000253",20250409,20250409,18,1,3,3,3,3,1.89,72,2.7,0
"TCKT000254",20250610,20250610,8,2,2,2,3,1,0.94,72,3.2,0
"TCKT000255",20250818,20250819,3,3,2,2,1,3,18.45,1,2.1,1
"TCKT000256",20251109,20251111,5,4,6,2,1,1,42.68,4,4,1
"TCKT000257",20250802,20250804,2,2,7,2,1,3,55.15,1,2.6,1
"TCKT000258",20250818,20250818,11,7,3,1,3,2,3.88,8,3.7,0
"TCKT000259",20250902,20250902,10,2,1,3,3,2,1.45,2,5,0
"TCKT000260",20250726,20250727,7,6,5,4,3,2,33.81,2,4.5,1
"TCKT000261",20250223,20250223,8,2,6,1,3,1,3.22,72,3.3,0
"TCKT000262",20250624,20250624,12,3,3,1,3,3,5.58,2,3,1
"TCKT000263",20250929,20250929,8,2,8,1,1,1,1.13,72,2.6,0
"TCKT000264",20250906,20250906,8,2,2,4,3,1,1.4,72,3.9,0
"TCKT000265",20250527,20250530,17,4,1,1,3,2,84.15,8,1.9,1
"TCKT000266",20251123,20251124,2,2,7,4,3,3,19.43,1,2.4,1
"TCKT000267",20250329,20250330,18,1,5,1,1,3,22.07,72,2.1,0
"TCKT000268",20250622,20250627,14,1,4,1,3,3,125.19,48,4,1
"TCKT000269",20250828,20250902,19,6,7,4,1,2,133.27,4,4.6,1
"TCKT000270",20250220,20250221,5,4,7,2,1,1,18.37,4,1.4,1
"TCKT000271",20250225,20250227,16,7,6,1,1,3,45.85,12,3.4,1
"TCKT000272",20250613,20250614,8,2,4,3,1,1,23.38,72,2.6,0
"TCKT000273",20250208,20250208,5,4,8,4,1,2,3.08,4,4.7,0
"TCKT000274",20250706,20250706,17,4,8,1,1,2,4.26,8,1.3,0
"TCKT000275",20250816,20250816,7,6,4,4,1,3,0.65,2,4.9,0
"TCKT000276",20250619,20250619,18,1,3,1,1,2,2.22,72,4.6,0
"TCKT000277",20250824,20250824,15,6,3,2,3,2,2.26,8,3.4,0
"TCKT000278",20250401,20250401,16,7,8,3,3,2,1.16,12,1.5,0
"TCKT000279",20250204,20250204,18,1,2,4,3,3,10.39,72,1.1,0
"TCKT000280",20250531,0,9,7,5,1,5,1,,24,,0
"TCKT000281",20250711,20250712,20,4,6,4,1,3,14.56,12,3.2,1
"TCKT000282",20250807,20250807,16,7,4,2,1,3,1.88,12,4.2,0
"TCKT000283",20250910,20250911,13,5,6,2,1,1,26.06,48,2,0
"TCKT000284",20250126,20250126,18,1,7,4,3,2,1.22,72,2.1,0
"TCKT000285",20250216,20250217,9,7,8,1,1,3,8.29,24,1.8,0
"TCKT000286",20250903,20250903,20,4,7,1,3,1,3.95,12,4.9,0
"TCKT000287",20250116,20250116,5,4,4,3,1,3,7.88,4,1.3,1
"TCKT000288",20250725,20250725,19,6,4,4,3,3,1.52,4,2.6,0
"TCKT000289",20250218,20250220,15,6,7,3,1,1,52.21,8,3.5,1
"TCKT000290",20250824,20250824,9,7,4,3,1,2,6.33,24,3.8,0
"TCKT000291",20250328,20250329,15,6,7,2,1,3,10.9,8,2.6,1
"TCKT000292",20250720,0,10,2,2,2,2,2,,2,,0
"TCKT000293",20250626,20250626,15,6,6,2,1,3,12.62,8,4.2,1
"TCKT000294",20250306,20250307,18,1,8,4,3,1,17.78,72,3.2,0
"TCKT000295",20251020,20251021,14,1,2,3,3,3,26.29,48,2.2,0
"TCKT000296",20251120,20251121,14,1,7,1,1,2,15.21,48,2.2,0
"TCKT000297",20250221,20250221,7,6,7,1,1,2,7.16,2,4.5,1
"TCKT000298",20250227,20250227,15,6,5,3,1,1,5.58,8,3.3,0
"TCKT000299",20250822,20250822,12,3,2,4,1,3,0.76,2,1,0
"TCKT000300",20250112,20250112,19,6,1,1,1,2,2.74,4,3.4,0
"TCKT000301",20250422,20250422,10,2,2,3,1,1,4.06,2,2.2,1
"TCKT000302",20251006,20251007,13,5,7,3,1,2,39.76,48,2.1,0
"TCKT000303",20250216,20250216,15,6,1,4,3,1,7.34,8,4.3,0
"TCKT000304",20250826,20250826,15,6,3,1,3,2,0.63,8,1.1,0
"TCKT000305",20250309,20250310,18,1,8,1,3,2,15.53,72,1.1,0
"TCKT000306",20250528,20250528,4,3,1,4,3,3,6.67,4,3.8,1
"TCKT000307",20250304,20250305,7,6,2,2,3,2,13.95,2,4.3,1
"TCKT000308",20250404,20250405,10,2,6,1,3,1,34.31,2,2.1,1
"TCKT000309",20250815,20250815,11,7,4,4,1,3,2.74,8,2.1,0
"TCKT000310",20251021,20251021,18,1,3,4,3,1,3.22,72,5,0
"TCKT000311",20250421,0,13,5,7,2,5,3,,48,,0
"TCKT000312",20250804,20250804,15,6,2,2,1,1,1.25,8,4.6,0
"TCKT000313",20250508,20250514,16,7,8,1,1,2,139.26,12,3.4,1
"TCKT000314",20251019,20251020,13,5,4,2,1,3,12.84,48,4.1,0
"TCKT000315",20250719,20250720,11,7,4,1,3,3,10.72,8,1.2,1
"TCKT000316",20250124,0,4,3,6,4,6,3,,4,,0
"TCKT000317",20250117,20250117,17,4,3,3,3,1,3.16,8,1.6,0
"TCKT000318",20250920,20250920,3,3,6,3,1,3,3.68,1,3.7,1
"TCKT000319",20250808,0,20,4,4,2,2,1,,12,,0
"TCKT000320",20250127,0,12,3,4,1,4,3,,2,,0
"TCKT000321",20251031,20251031,20,4,2,3,3,2,1.54,12,4.6,0
"TCKT000322",20250324,20250325,18,1,1,3,3,3,14.74,72,3.5,0
"TCKT000323",20250622,20250622,8,2,8,2,1,1,0.58,72,4.5,0
"TCKT000324",20251018,20251018,11,7,8,2,3,3,5.42,8,4.5,0
"TCKT000325",20250103,20250103,11,7,1,3,3,1,1.25,8,3.3,0
"TCKT000326",20250901,0,12,3,7,2,2,2,,2,,0
"TCKT000327",20250102,20250102,12,3,7,1,1,1,1.82,2,3.9,0
"TCKT000328",20250120,20250120,2,2,2,3,3,3,0.69,1,3.6,0
"TCKT000329",20250320,20250320,9,7,8,4,1,3,1.23,24,2.9,0
"TCKT000330",20250415,20250415,7,6,1,4,3,3,12.9,2,1.1,1
"TCKT000331",20251014,0,2,2,1,4,5,2,,1,,0
"TCKT000332",20250617,20250617,2,2,8,1,1,3,2.23,1,4.8,1
"TCKT000333",20250617,20250617,11,7,1,3,1,3,1.22,8,2.3,0
"TCKT000334",20250130,20250203,15,6,2,3,1,2,95.53,8,3.2,1
"TCKT000335",20250522,20250523,1,1,7,4,3,1,20.7,1,1,1
"TCKT000336",20250417,20250417,9,7,7,1,1,1,0.6,24,4.1,0
"TCKT000337",20250531,20250531,2,2,4,1,1,3,3.91,1,4.5,1
"TCKT000338",20250810,0,7,6,5,3,5,2,,2,,0
"TCKT000339",20250226,0,9,7,6,4,2,3,,24,,0
"TCKT000340",20250212,20250212,7,6,3,3,1,2,0.73,2,3.8,0
"TCKT000341",20251022,20251025,18,1,3,2,3,2,68.57,72,4.7,0
"TCKT000342",20250708,20250708,7,6,1,1,1,1,1.04,2,2,0
"TCKT000343",20250824,20250824,10,2,7,1,3,1,0.67,2,1.9,0
"TCKT000344",20250811,20250812,2,2,7,2,1,2,10.4,1,2.6,1
"TCKT000345",20250830,20250831,10,2,1,2,3,2,6.47,2,4.8,1
"TCKT000346",20250321,0,5,4,4,3,4,1,,4,,0
"TCKT000347",20251102,20251104,8,2,7,3,3,2,28.22,72,3.9,0
"TCKT000348",20250416,20250416,12,3,4,4,3,2,1.38,2,1.5,0
"TCKT000349",20250405,20250405,9,7,5,2,1,1,7.81,24,4.8,0
"TCKT000350",20250219,0,8,2,7,4,2,3,,72,,0
"TCKT000351",20250227,20250227,19,6,8,2,1,1,6,4,1.5,1
"TCKT000352",20250812,20250812,12,3,5,1,1,3,1.46,2,3.1,0
"TCKT000353",20250204,20250208,4,3,4,1,3,3,90.41,4,1.8,1
