"DATE_KEY","FULL_DATE","YEAR","QUARTER","MONTH_NUMBER","MONTH_NAME","DAY_NUMBER","DAY_NAME"
20240312,12-MAR-24,2024,1,3,"March    ",12,"Tuesday  "
20240313,13-MAR-24,2024,1,3,"March    ",13,"Wednesday"
20240314,14-MAR-24,2024,1,3,"March    ",14,"Thursday "
20240315,15-MAR-24,2024,1,3,"March    ",15,"Friday   "
20240316,16-MAR-24,2024,1,3,"March    ",16,"Saturday "
20240317,17-MAR-24,2024,1,3,"March    ",17,"Sunday   "
20240318,18-MAR-24,2024,1,3,"March    ",18,"Monday   "
20240319,19-MAR-24,2024,1,3,"March    ",19,"Tuesday  "
20240320,20-MAR-24,2024,1,3,"March    ",20,"Wednesday"
20240321,21-MAR-24,2024,1,3,"March    ",21,"Thursday "
20240322,22-MAR-24,2024,1,3,"March    ",22,"Friday   "
20240323,23-MAR-24,2024,1,3,"March    ",23,"Saturday "
20240324,24-MAR-24,2024,1,3,"March    ",24,"Sunday   "
20240325,25-MAR-24,2024,1,3,"March    ",25,"Monday   "
20240326,26-MAR-24,2024,1,3,"March    ",26,"Tuesday  "
20240327,27-MAR-24,2024,1,3,"March    ",27,"Wednesday"
20240328,28-MAR-24,2024,1,3,"March    ",28,"Thursday "
20240329,29-MAR-24,2024,1,3,"March    ",29,"Friday   "
20240330,30-MAR-24,2024,1,3,"March    ",30,"Saturday "
20240331,31-MAR-24,2024,1,3,"March    ",31,"Sunday   "
20240401,01-APR-24,2024,2,4,"April    ",1,"Monday   "
20240402,02-APR-24,2024,2,4,"April    ",2,"Tuesday  "
20240403,03-APR-24,2024,2,4,"April    ",3,"Wednesday"
20240404,04-APR-24,2024,2,4,"April    ",4,"Thursday "
20240405,05-APR-24,2024,2,4,"April    ",5,"Friday   "
20240406,06-APR-24,2024,2,4,"April    ",6,"Saturday "
20240407,07-APR-24,2024,2,4,"April    ",7,"Sunday   "
20240408,08-APR-24,2024,2,4,"April    ",8,"Monday   "
20240409,09-APR-24,2024,2,4,"April    ",9,"Tuesday  "
20240410,10-APR-24,2024,2,4,"April    ",10,"Wednesday"
20240411,11-APR-24,2024,2,4,"April    ",11,"Thursday "
20240412,12-APR-24,2024,2,4,"April    ",12,"Friday   "
20240413,13-APR-24,2024,2,4,"April    ",13,"Saturday "
20240414,14-APR-24,2024,2,4,"April    ",14,"Sunday   "
20240415,15-APR-24,2024,2,4,"April    ",15,"Monday   "
20240416,16-APR-24,2024,2,4,"April    ",16,"Tuesday  "
20240417,17-APR-24,2024,2,4,"April    ",17,"Wednesday"
20240418,18-APR-24,2024,2,4,"April    ",18,"Thursday "
20240419,19-APR-24,2024,2,4,"April    ",19,"Friday   "
20240420,20-APR-24,2024,2,4,"April    ",20,"Saturday "
20240421,21-APR-24,2024,2,4,"April    ",21,"Sunday   "
20240422,22-APR-24,2024,2,4,"April    ",22,"Monday   "
20240423,23-APR-24,2024,2,4,"April    ",23,"Tuesday  "
20240424,24-APR-24,2024,2,4,"April    ",24,"Wednesday"
20240425,25-APR-24,2024,2,4,"April    ",25,"Thursday "
20240426,26-APR-24,2024,2,4,"April    ",26,"Friday   "
20240427,27-APR-24,2024,2,4,"April    ",27,"Saturday "
20240428,28-APR-24,2024,2,4,"April    ",28,"Sunday   "
20240429,29-APR-24,2024,2,4,"April    ",29,"Monday   "
20240430,30-APR-24,2024,2,4,"April    ",30,"Tuesday  "
20240501,01-MAY-24,2024,2,5,"May      ",1,"Wednesday"
20240502,02-MAY-24,2024,2,5,"May      ",2,"Thursday "
20240503,03-MAY-24,2024,2,5,"May      ",3,"Friday   "
20240504,04-MAY-24,2024,2,5,"May      ",4,"Saturday "
20240505,05-MAY-24,2024,2,5,"May      ",5,"Sunday   "
20240506,06-MAY-24,2024,2,5,"May      ",6,"Monday   "
20240507,07-MAY-24,2024,2,5,"May      ",7,"Tuesday  "
20240508,08-MAY-24,2024,2,5,"May      ",8,"Wednesday"
20240509,09-MAY-24,2024,2,5,"May      ",9,"Thursday "
20240510,10-MAY-24,2024,2,5,"May      ",10,"Friday   "
20240511,11-MAY-24,2024,2,5,"May      ",11,"Saturday "
20240512,12-MAY-24,2024,2,5,"May      ",12,"Sunday   "
20240513,13-MAY-24,2024,2,5,"May      ",13,"Monday   "
20240514,14-MAY-24,2024,2,5,"May      ",14,"Tuesday  "
20240515,15-MAY-24,2024,2,5,"May      ",15,"Wednesday"
20240516,16-MAY-24,2024,2,5,"May      ",16,"Thursday "
20240517,17-MAY-24,2024,2,5,"May      ",17,"Friday   "
20240518,18-MAY-24,2024,2,5,"May      ",18,"Saturday "
20240519,19-MAY-24,2024,2,5,"May      ",19,"Sunday   "
20240520,20-MAY-24,2024,2,5,"May      ",20,"Monday   "
20240521,21-MAY-24,2024,2,5,"May      ",21,"Tuesday  "
20240522,22-MAY-24,2024,2,5,"May      ",22,"Wednesday"
20240523,23-MAY-24,2024,2,5,"May      ",23,"Thursday "
20240524,24-MAY-24,2024,2,5,"May      ",24,"Friday   "
20240525,25-MAY-24,2024,2,5,"May      ",25,"Saturday "
20240526,26-MAY-24,2024,2,5,"May      ",26,"Sunday   "
20240527,27-MAY-24,2024,2,5,"May      ",27,"Monday   "
20240528,28-MAY-24,2024,2,5,"May      ",28,"Tuesday  "
20240529,29-MAY-24,2024,2,5,"May      ",29,"Wednesday"
20240530,30-MAY-24,2024,2,5,"May      ",30,"Thursday "
20240531,31-MAY-24,2024,2,5,"May      ",31,"Friday   "
20240601,01-JUN-24,2024,2,6,"June     ",1,"Saturday "
20240602,02-JUN-24,2024,2,6,"June     ",2,"Sunday   "
20240603,03-JUN-24,2024,2,6,"June     ",3,"Monday   "
20240604,04-JUN-24,2024,2,6,"June     ",4,"Tuesday  "
20240605,05-JUN-24,2024,2,6,"June     ",5,"Wednesday"
20240606,06-JUN-24,2024,2,6,"June     ",6,"Thursday "
20240607,07-JUN-24,2024,2,6,"June     ",7,"Friday   "
20240608,08-JUN-24,2024,2,6,"June     ",8,"Saturday "
20240609,09-JUN-24,2024,2,6,"June     ",9,"Sunday   "
20240610,10-JUN-24,2024,2,6,"June     ",10,"Monday   "
20240611,11-JUN-24,2024,2,6,"June     ",11,"Tuesday  "
20240612,12-JUN-24,2024,2,6,"June     ",12,"Wednesday"
20240613,13-JUN-24,2024,2,6,"June     ",13,"Thursday "
20240614,14-JUN-24,2024,2,6,"June     ",14,"Friday   "
20240615,15-JUN-24,2024,2,6,"June     ",15,"Saturday "
20240616,16-JUN-24,2024,2,6,"June     ",16,"Sunday   "
20240617,17-JUN-24,2024,2,6,"June     ",17,"Monday   "
20240618,18-JUN-24,2024,2,6,"June     ",18,"Tuesday  "
20240619,19-JUN-24,2024,2,6,"June     ",19,"Wednesday"
20240620,20-JUN-24,2024,2,6,"June     ",20,"Thursday "
20240621,21-JUN-24,2024,2,6,"June     ",21,"Friday   "
20240622,22-JUN-24,2024,2,6,"June     ",22,"Saturday "
20240623,23-JUN-24,2024,2,6,"June     ",23,"Sunday   "
20240624,24-JUN-24,2024,2,6,"June     ",24,"Monday   "
20240625,25-JUN-24,2024,2,6,"June     ",25,"Tuesday  "
20240626,26-JUN-24,2024,2,6,"June     ",26,"Wednesday"
20240627,27-JUN-24,2024,2,6,"June     ",27,"Thursday "
20240628,28-JUN-24,2024,2,6,"June     ",28,"Friday   "
20240629,29-JUN-24,2024,2,6,"June     ",29,"Saturday "
20240630,30-JUN-24,2024,2,6,"June     ",30,"Sunday   "
20240701,01-JUL-24,2024,3,7,"July     ",1,"Monday   "
20240702,02-JUL-24,2024,3,7,"July     ",2,"Tuesday  "
20240703,03-JUL-24,2024,3,7,"July     ",3,"Wednesday"
20240704,04-JUL-24,2024,3,7,"July     ",4,"Thursday "
20240705,05-JUL-24,2024,3,7,"July     ",5,"Friday   "
20240706,06-JUL-24,2024,3,7,"July     ",6,"Saturday "
20240707,07-JUL-24,2024,3,7,"July     ",7,"Sunday   "
20240708,08-JUL-24,2024,3,7,"July     ",8,"Monday   "
20240709,09-JUL-24,2024,3,7,"July     ",9,"Tuesday  "
20240710,10-JUL-24,2024,3,7,"July     ",10,"Wednesday"
20240711,11-JUL-24,2024,3,7,"July     ",11,"Thursday "
20240712,12-JUL-24,2024,3,7,"July     ",12,"Friday   "
20240713,13-JUL-24,2024,3,7,"July     ",13,"Saturday "
20240714,14-JUL-24,2024,3,7,"July     ",14,"Sunday   "
20240715,15-JUL-24,2024,3,7,"July     ",15,"Monday   "
20240716,16-JUL-24,2024,3,7,"July     ",16,"Tuesday  "
20240717,17-JUL-24,2024,3,7,"July     ",17,"Wednesday"
20240718,18-JUL-24,2024,3,7,"July     ",18,"Thursday "
20240719,19-JUL-24,2024,3,7,"July     ",19,"Friday   "
20240720,20-JUL-24,2024,3,7,"July     ",20,"Saturday "
20240721,21-JUL-24,2024,3,7,"July     ",21,"Sunday   "
20240722,22-JUL-24,2024,3,7,"July     ",22,"Monday   "
20240723,23-JUL-24,2024,3,7,"July     ",23,"Tuesday  "
20240724,24-JUL-24,2024,3,7,"July     ",24,"Wednesday"
20240725,25-JUL-24,2024,3,7,"July     ",25,"Thursday "
20240726,26-JUL-24,2024,3,7,"July     ",26,"Friday   "
20240727,27-JUL-24,2024,3,7,"July     ",27,"Saturday "
20240728,28-JUL-24,2024,3,7,"July     ",28,"Sunday   "
20240729,29-JUL-24,2024,3,7,"July     ",29,"Monday   "
20240730,30-JUL-24,2024,3,7,"July     ",30,"Tuesday  "
20240731,31-JUL-24,2024,3,7,"July     ",31,"Wednesday"
20240801,01-AUG-24,2024,3,8,"August   ",1,"Thursday "
20240802,02-AUG-24,2024,3,8,"August   ",2,"Friday   "
20240803,03-AUG-24,2024,3,8,"August   ",3,"Saturday "
20240804,04-AUG-24,2024,3,8,"August   ",4,"Sunday   "
20240805,05-AUG-24,2024,3,8,"August   ",5,"Monday   "
20240806,06-AUG-24,2024,3,8,"August   ",6,"Tuesday  "
20240807,07-AUG-24,2024,3,8,"August   ",7,"Wednesday"
20240808,08-AUG-24,2024,3,8,"August   ",8,"Thursday "
20240809,09-AUG-24,2024,3,8,"August   ",9,"Friday   "
20240810,10-AUG-24,2024,3,8,"August   ",10,"Saturday "
20240811,11-AUG-24,2024,3,8,"August   ",11,"Sunday   "
20240812,12-AUG-24,2024,3,8,"August   ",12,"Monday   "
20240813,13-AUG-24,2024,3,8,"August   ",13,"Tuesday  "
20240814,14-AUG-24,2024,3,8,"August   ",14,"Wednesday"
20240815,15-AUG-24,2024,3,8,"August   ",15,"Thursday "
20240816,16-AUG-24,2024,3,8,"August   ",16,"Friday   "
20240817,17-AUG-24,2024,3,8,"August   ",17,"Saturday "
20240818,18-AUG-24,2024,3,8,"August   ",18,"Sunday   "
20240819,19-AUG-24,2024,3,8,"August   ",19,"Monday   "
20240820,20-AUG-24,2024,3,8,"August   ",20,"Tuesday  "
20240821,21-AUG-24,2024,3,8,"August   ",21,"Wednesday"
20240822,22-AUG-24,2024,3,8,"August   ",22,"Thursday "
20240823,23-AUG-24,2024,3,8,"August   ",23,"Friday   "
20240824,24-AUG-24,2024,3,8,"August   ",24,"Saturday "
20240825,25-AUG-24,2024,3,8,"August   ",25,"Sunday   "
20240826,26-AUG-24,2024,3,8,"August   ",26,"Monday   "
20240827,27-AUG-24,2024,3,8,"August   ",27,"Tuesday  "
20240828,28-AUG-24,2024,3,8,"August   ",28,"Wednesday"
20240829,29-AUG-24,2024,3,8,"August   ",29,"Thursday "
20240830,30-AUG-24,2024,3,8,"August   ",30,"Friday   "
20240831,31-AUG-24,2024,3,8,"August   ",31,"Saturday "
20240901,01-SEP-24,2024,3,9,"September",1,"Sunday   "
20240902,02-SEP-24,2024,3,9,"September",2,"Monday   "
20240903,03-SEP-24,2024,3,9,"September",3,"Tuesday  "
20240904,04-SEP-24,2024,3,9,"September",4,"Wednesday"
20240905,05-SEP-24,2024,3,9,"September",5,"Thursday "
20240906,06-SEP-24,2024,3,9,"September",6,"Friday   "
20240907,07-SEP-24,2024,3,9,"September",7,"Saturday "
20240908,08-SEP-24,2024,3,9,"September",8,"Sunday   "
20240909,09-SEP-24,2024,3,9,"September",9,"Monday   "
20240910,10-SEP-24,2024,3,9,"September",10,"Tuesday  "
20240911,11-SEP-24,2024,3,9,"September",11,"Wednesday"
20240912,12-SEP-24,2024,3,9,"September",12,"Thursday "
20240913,13-SEP-24,2024,3,9,"September",13,"Friday   "
20240914,14-SEP-24,2024,3,9,"September",14,"Saturday "
20240915,15-SEP-24,2024,3,9,"September",15,"Sunday   "
20240916,16-SEP-24,2024,3,9,"September",16,"Monday   "
20240917,17-SEP-24,2024,3,9,"September",17,"Tuesday  "
20240918,18-SEP-24,2024,3,9,"September",18,"Wednesday"
20240919,19-SEP-24,2024,3,9,"September",19,"Thursday "
20240920,20-SEP-24,2024,3,9,"September",20,"Friday   "
20240921,21-SEP-24,2024,3,9,"September",21,"Saturday "
20240922,22-SEP-24,2024,3,9,"September",22,"Sunday   "
20240923,23-SEP-24,2024,3,9,"September",23,"Monday   "
20240924,24-SEP-24,2024,3,9,"September",24,"Tuesday  "
20240925,25-SEP-24,2024,3,9,"September",25,"Wednesday"
20240926,26-SEP-24,2024,3,9,"September",26,"Thursday "
20240927,27-SEP-24,2024,3,9,"September",27,"Friday   "
20240928,28-SEP-24,2024,3,9,"September",28,"Saturday "
20240929,29-SEP-24,2024,3,9,"September",29,"Sunday   "
20240930,30-SEP-24,2024,3,9,"September",30,"Monday   "
20241001,01-OCT-24,2024,4,10,"October  ",1,"Tuesday  "
20241002,02-OCT-24,2024,4,10,"October  ",2,"Wednesday"
20241003,03-OCT-24,2024,4,10,"October  ",3,"Thursday "
20241004,04-OCT-24,2024,4,10,"October  ",4,"Friday   "
20241005,05-OCT-24,2024,4,10,"October  ",5,"Saturday "
20241006,06-OCT-24,2024,4,10,"October  ",6,"Sunday   "
20241007,07-OCT-24,2024,4,10,"October  ",7,"Monday   "
20241008,08-OCT-24,2024,4,10,"October  ",8,"Tuesday  "
20241009,09-OCT-24,2024,4,10,"October  ",9,"Wednesday"
20241010,10-OCT-24,2024,4,10,"October  ",10,"Thursday "
20241011,11-OCT-24,2024,4,10,"October  ",11,"Friday   "
20241012,12-OCT-24,2024,4,10,"October  ",12,"Saturday "
20241013,13-OCT-24,2024,4,10,"October  ",13,"Sunday   "
20241014,14-OCT-24,2024,4,10,"October  ",14,"Monday   "
20241015,15-OCT-24,2024,4,10,"October  ",15,"Tuesday  "
20241016,16-OCT-24,2024,4,10,"October  ",16,"Wednesday"
20241017,17-OCT-24,2024,4,10,"October  ",17,"Thursday "
20241018,18-OCT-24,2024,4,10,"October  ",18,"Friday   "
20241019,19-OCT-24,2024,4,10,"October  ",19,"Saturday "
20241020,20-OCT-24,2024,4,10,"October  ",20,"Sunday   "
20241021,21-OCT-24,2024,4,10,"October  ",21,"Monday   "
20241022,22-OCT-24,2024,4,10,"October  ",22,"Tuesday  "
20241023,23-OCT-24,2024,4,10,"October  ",23,"Wednesday"
20241024,24-OCT-24,2024,4,10,"October  ",24,"Thursday "
20241025,25-OCT-24,2024,4,10,"October  ",25,"Friday   "
20241026,26-OCT-24,2024,4,10,"October  ",26,"Saturday "
20241027,27-OCT-24,2024,4,10,"October  ",27,"Sunday   "
20241028,28-OCT-24,2024,4,10,"October  ",28,"Monday   "
20241029,29-OCT-24,2024,4,10,"October  ",29,"Tuesday  "
20241030,30-OCT-24,2024,4,10,"October  ",30,"Wednesday"
20241031,31-OCT-24,2024,4,10,"October  ",31,"Thursday "
20241101,01-NOV-24,2024,4,11,"November ",1,"Friday   "
20241102,02-NOV-24,2024,4,11,"November ",2,"Saturday "
20241103,03-NOV-24,2024,4,11,"November ",3,"Sunday   "
20241104,04-NOV-24,2024,4,11,"November ",4,"Monday   "
20241105,05-NOV-24,2024,4,11,"November ",5,"Tuesday  "
20241106,06-NOV-24,2024,4,11,"November ",6,"Wednesday"
20241107,07-NOV-24,2024,4,11,"November ",7,"Thursday "
20241108,08-NOV-24,2024,4,11,"November ",8,"Friday   "
20241109,09-NOV-24,2024,4,11,"November ",9,"Saturday "
20241110,10-NOV-24,2024,4,11,"November ",10,"Sunday   "
20241111,11-NOV-24,2024,4,11,"November ",11,"Monday   "
20241112,12-NOV-24,2024,4,11,"November ",12,"Tuesday  "
20241113,13-NOV-24,2024,4,11,"November ",13,"Wednesday"
20241114,14-NOV-24,2024,4,11,"November ",14,"Thursday "
20241115,15-NOV-24,2024,4,11,"November ",15,"Friday   "
20241116,16-NOV-24,2024,4,11,"November ",16,"Saturday "
20241117,17-NOV-24,2024,4,11,"November ",17,"Sunday   "
20241118,18-NOV-24,2024,4,11,"November ",18,"Monday   "
20241119,19-NOV-24,2024,4,11,"November ",19,"Tuesday  "
20241120,20-NOV-24,2024,4,11,"November ",20,"Wednesday"
20241121,21-NOV-24,2024,4,11,"November ",21,"Thursday "
20241122,22-NOV-24,2024,4,11,"November ",22,"Friday   "
20241123,23-NOV-24,2024,4,11,"November ",23,"Saturday "
20241124,24-NOV-24,2024,4,11,"November ",24,"Sunday   "
20241125,25-NOV-24,2024,4,11,"November ",25,"Monday   "
20241126,26-NOV-24,2024,4,11,"November ",26,"Tuesday  "
20241127,27-NOV-24,2024,4,11,"November ",27,"Wednesday"
20241128,28-NOV-24,2024,4,11,"November ",28,"Thursday "
20241129,29-NOV-24,2024,4,11,"November ",29,"Friday   "
20241130,30-NOV-24,2024,4,11,"November ",30,"Saturday "
20241201,01-DEC-24,2024,4,12,"December ",1,"Sunday   "
20241202,02-DEC-24,2024,4,12,"December ",2,"Monday   "
20241203,03-DEC-24,2024,4,12,"December ",3,"Tuesday  "
20241204,04-DEC-24,2024,4,12,"December ",4,"Wednesday"
20241205,05-DEC-24,2024,4,12,"December ",5,"Thursday "
20241206,06-DEC-24,2024,4,12,"December ",6,"Friday   "
20241207,07-DEC-24,2024,4,12,"December ",7,"Saturday "
20241208,08-DEC-24,2024,4,12,"December ",8,"Sunday   "
20241209,09-DEC-24,2024,4,12,"December ",9,"Monday   "
20241210,10-DEC-24,2024,4,12,"December ",10,"Tuesday  "
20241211,11-DEC-24,2024,4,12,"December ",11,"Wednesday"
20241212,12-DEC-24,2024,4,12,"December ",12,"Thursday "
20241213,13-DEC-24,2024,4,12,"December ",13,"Friday   "
20241214,14-DEC-24,2024,4,12,"December ",14,"Saturday "
20241215,15-DEC-24,2024,4,12,"December ",15,"Sunday   "
20241216,16-DEC-24,2024,4,12,"December ",16,"Monday   "
20241217,17-DEC-24,2024,4,12,"December ",17,"Tuesday  "
20241218,18-DEC-24,2024,4,12,"December ",18,"Wednesday"
20241219,19-DEC-24,2024,4,12,"December ",19,"Thursday "
20241220,20-DEC-24,2024,4,12,"December ",20,"Friday   "
20241221,21-DEC-24,2024,4,12,"December ",21,"Saturday "
20241222,22-DEC-24,2024,4,12,"December ",22,"Sunday   "
20241223,23-DEC-24,2024,4,12,"December ",23,"Monday   "
20241224,24-DEC-24,2024,4,12,"December ",24,"Tuesday  "
20241225,25-DEC-24,2024,4,12,"December ",25,"Wednesday"
20241226,26-DEC-24,2024,4,12,"December ",26,"Thursday "
20241227,27-DEC-24,2024,4,12,"December ",27,"Friday   "
20241228,28-DEC-24,2024,4,12,"December ",28,"Saturday "
20241229,29-DEC-24,2024,4,12,"December ",29,"Sunday   "
20241230,30-DEC-24,2024,4,12,"December ",30,"Monday   "
20241231,31-DEC-24,2024,4,12,"December ",31,"Tuesday  "
20250101,01-JAN-25,2025,1,1,"January  ",1,"Wednesday"
20250102,02-JAN-25,2025,1,1,"January  ",2,"Thursday "
20250103,03-JAN-25,2025,1,1,"January  ",3,"Friday   "
20250104,04-JAN-25,2025,1,1,"January  ",4,"Saturday "
20250105,05-JAN-25,2025,1,1,"January  ",5,"Sunday   "
20250106,06-JAN-25,2025,1,1,"January  ",6,"Monday   "
20250107,07-JAN-25,2025,1,1,"January  ",7,"Tuesday  "
20250108,08-JAN-25,2025,1,1,"January  ",8,"Wednesday"
20250109,09-JAN-25,2025,1,1,"January  ",9,"Thursday "
20250110,10-JAN-25,2025,1,1,"January  ",10,"Friday   "
20250111,11-JAN-25,2025,1,1,"January  ",11,"Saturday "
20250112,12-JAN-25,2025,1,1,"January  ",12,"Sunday   "
20250113,13-JAN-25,2025,1,1,"January  ",13,"Monday   "
20250114,14-JAN-25,2025,1,1,"January  ",14,"Tuesday  "
20250115,15-JAN-25,2025,1,1,"January  ",15,"Wednesday"
20250116,16-JAN-25,2025,1,1,"January  ",16,"Thursday "
20250117,17-JAN-25,2025,1,1,"January  ",17,"Friday   "
20250118,18-JAN-25,2025,1,1,"January  ",18,"Saturday "
20250119,19-JAN-25,2025,1,1,"January  ",19,"Sunday   "
20250120,20-JAN-25,2025,1,1,"January  ",20,"Monday   "
20250121,21-JAN-25,2025,1,1,"January  ",21,"Tuesday  "
20250122,22-JAN-25,2025,1,1,"January  ",22,"Wednesday"
20250123,23-JAN-25,2025,1,1,"January  ",23,"Thursday "
20250124,24-JAN-25,2025,1,1,"January  ",24,"Friday   "
20250125,25-JAN-25,2025,1,1,"January  ",25,"Saturday "
20250126,26-JAN-25,2025,1,1,"January  ",26,"Sunday   "
20250127,27-JAN-25,2025,1,1,"January  ",27,"Monday   "
20250128,28-JAN-25,2025,1,1,"January  ",28,"Tuesday  "
20250129,29-JAN-25,2025,1,1,"January  ",29,"Wednesday"
20250130,30-JAN-25,2025,1,1,"January  ",30,"Thursday "
20250131,31-JAN-25,2025,1,1,"January  ",31,"Friday   "
20250201,01-FEB-25,2025,1,2,"February ",1,"Saturday "
20250202,02-FEB-25,2025,1,2,"February ",2,"Sunday   "
20250203,03-FEB-25,2025,1,2,"February ",3,"Monday   "
20250204,04-FEB-25,2025,1,2,"February ",4,"Tuesday  "
20250205,05-FEB-25,2025,1,2,"February ",5,"Wednesday"
20250206,06-FEB-25,2025,1,2,"February ",6,"Thursday "
20250207,07-FEB-25,2025,1,2,"February ",7,"Friday   "
20250208,08-FEB-25,2025,1,2,"February ",8,"Saturday "
20250209,09-FEB-25,2025,1,2,"February ",9,"Sunday   "
20250210,10-FEB-25,2025,1,2,"February ",10,"Monday   "
20250211,11-FEB-25,2025,1,2,"February ",11,"Tuesday  "
20250212,12-FEB-25,2025,1,2,"February ",12,"Wednesday"
20250213,13-FEB-25,2025,1,2,"February ",13,"Thursday "
20250214,14-FEB-25,2025,1,2,"February ",14,"Friday   "
20250215,15-FEB-25,2025,1,2,"February ",15,"Saturday "
20250216,16-FEB-25,2025,1,2,"February ",16,"Sunday   "
20250217,17-FEB-25,2025,1,2,"February ",17,"Monday   "
20250218,18-FEB-25,2025,1,2,"February ",18,"Tuesday  "
20250219,19-FEB-25,2025,1,2,"February ",19,"Wednesday"
20250220,20-FEB-25,2025,1,2,"February ",20,"Thursday "
20250221,21-FEB-25,2025,1,2,"February ",21,"Friday   "
20250222,22-FEB-25,2025,1,2,"February ",22,"Saturday "
